sku,name,competitor,price
IPHONE15_128,iPhone 15 128GB,TechShop,78990
IPHONE15_128,iPhone 15 128GB,MobileStore,79990
IPHONE15_128,iPhone 15 128GB,ElectroCity,81990
IPHONE15_128,iPhone 15 128GB,PhoneMarket,77990
IPHONE15_128,iPhone 15 128GB,GadgetWorld,79500
IPHONE15_128,iPhone 15 128GB,DigitalZone,80900
IPHONE15_128,iPhone 15 128GB,SmartStore,78500
IPHONE15_128,iPhone 15 128GB,CityMobile,79900
IPHONE15_256,iPhone 15 256GB,TechShop,88990
IPHONE15_256,iPhone 15 256GB,MobileStore,89990
IPHONE15_256,iPhone 15 256GB,ElectroCity,91990
IPHONE15_256,iPhone 15 256GB,PhoneMarket,87990
IPHONE15_256,iPhone 15 256GB,GadgetWorld,89500
IPHONE15_256,iPhone 15 256GB,DigitalZone,90900
IPHONE15_256,iPhone 15 256GB,SmartStore,88500
IPHONE15_256,iPhone 15 256GB,CityMobile,89900
IPHONE15_PRO_128,iPhone 15 Pro 128GB,TechShop,99990
IPHONE15_PRO_128,iPhone 15 Pro 128GB,MobileStore,100990
IPHONE15_PRO_128,iPhone 15 Pro 128GB,ElectroCity,102990
IPHONE15_PRO_128,iPhone 15 Pro 128GB,PhoneMarket,98990
IPHONE15_PRO_128,iPhone 15 Pro 128GB,GadgetWorld,100500
IPHONE15_PRO_128,iPhone 15 Pro 128GB,DigitalZone,101900
IPHONE15_PRO_128,iPhone 15 Pro 128GB,SmartStore,99500
IPHONE15_PRO_128,iPhone 15 Pro 128GB,CityMobile,100900
S24_256,Samsung Galaxy S24 256GB,TechShop,74990
S24_256,Samsung Galaxy S24 256GB,MobileStore,75990
S24_256,Samsung Galaxy S24 256GB,ElectroCity,76990
S24_256,Samsung Galaxy S24 256GB,PhoneMarket,73990
S24_256,Samsung Galaxy S24 256GB,GadgetWorld,75500
S24_256,Samsung Galaxy S24 256GB,DigitalZone,76500
S24_256,Samsung Galaxy S24 256GB,SmartStore,74500
S24_256,Samsung Galaxy S24 256GB,CityMobile,75900
S24_PLUS_512,Samsung Galaxy S24+ 512GB,TechShop,89990
S24_PLUS_512,Samsung Galaxy S24+ 512GB,MobileStore,90990
S24_PLUS_512,Samsung Galaxy S24+ 512GB,ElectroCity,92990
S24_PLUS_512,Samsung Galaxy S24+ 512GB,PhoneMarket,88990
S24_PLUS_512,Samsung Galaxy S24+ 512GB,GadgetWorld,90500
S24_PLUS_512,Samsung Galaxy S24+ 512GB,DigitalZone,91500
S24_PLUS_512,Samsung Galaxy S24+ 512GB,SmartStore,89500
S24_PLUS_512,Samsung Galaxy S24+ 512GB,CityMobile,90900
XIAOMI14_256,Xiaomi 14 256GB,TechShop,54990
XIAOMI14_256,Xiaomi 14 256GB,MobileStore,55990
XIAOMI14_256,Xiaomi 14 256GB,ElectroCity,56990
XIAOMI14_256,Xiaomi 14 256GB,PhoneMarket,53990
XIAOMI14_256,Xiaomi 14 256GB,GadgetWorld,55500
XIAOMI14_256,Xiaomi 14 256GB,DigitalZone,56500
XIAOMI14_256,Xiaomi 14 256GB,SmartStore,54500
XIAOMI14_256,Xiaomi 14 256GB,CityMobile,55900
XIAOMI14_ULTRA_512,Xiaomi 14 Ultra 512GB,TechShop,89990
XIAOMI14_ULTRA_512,Xiaomi 14 Ultra 512GB,MobileStore,90990
XIAOMI14_ULTRA_512,Xiaomi 14 Ultra 512GB,ElectroCity,92990
XIAOMI14_ULTRA_512,Xiaomi 14 Ultra 512GB,PhoneMarket,88990
XIAOMI14_ULTRA_512,Xiaomi 14 Ultra 512GB,GadgetWorld,90500
XIAOMI14_ULTRA_512,Xiaomi 14 Ultra 512GB,DigitalZone,91500
XIAOMI14_ULTRA_512,Xiaomi 14 Ultra 512GB,SmartStore,89500
XIAOMI14_ULTRA_512,Xiaomi 14 Ultra 512GB,CityMobile,90900
PIXEL8_128,Google Pixel 8 128GB,TechShop,59990
PIXEL8_128,Google Pixel 8 128GB,MobileStore,60990
PIXEL8_128,Google Pixel 8 128GB,ElectroCity,61990
PIXEL8_128,Google Pixel 8 128GB,PhoneMarket,58990
PIXEL8_128,Google Pixel 8 128GB,GadgetWorld,60500
PIXEL8_128,Google Pixel 8 128GB,DigitalZone,61500
PIXEL8_128,Google Pixel 8 128GB,SmartStore,59500
PIXEL8_128,Google Pixel 8 128GB,CityMobile,60900
PIXEL8_PRO_256,Google Pixel 8 Pro 256GB,TechShop,79990
PIXEL8_PRO_256,Google Pixel 8 Pro 256GB,MobileStore,80990
PIXEL8_PRO_256,Google Pixel 8 Pro 256GB,ElectroCity,82990
PIXEL8_PRO_256,Google Pixel 8 Pro 256GB,PhoneMarket,78990
PIXEL8_PRO_256,Google Pixel 8 Pro 256GB,GadgetWorld,80500
PIXEL8_PRO_256,Google Pixel 8 Pro 256GB,DigitalZone,81500
PIXEL8_PRO_256,Google Pixel 8 Pro 256GB,SmartStore,79500
PIXEL8_PRO_256,Google Pixel 8 Pro 256GB,CityMobile,80900
